Date/Time,Wind Direction,Wind Speed
7/16/19 12:03,1.4,222.0
7/16/19 14:03,1.1,230.0
7/16/19 16:03,1.5,227.0
7/16/19 18:03,1.7,219.0
7/16/19 20:03,1.3,198.0
7/16/19 20:03,1.3,198.0
7/17/19 0:03,1.4,223.0
7/17/19 4:03,0.7,244.0
7/17/19 8:03,0.0,282.0
7/17/19 10:03,0.0,0.0
7/17/19 12:03,0.5,274.0
7/17/19 14:03,0.9,265.0
7/17/19 16:03,0.8,267.0
7/17/19 18:03,0.6,253.0
7/17/19 20:03,0.8,267.0
7/17/19 20:03,0.8,267.0
7/18/19 0:03,0.4,119.0
7/18/19 4:03,0.4,0.0
7/18/19 8:03,1.5,333.0
7/18/19 10:03,0.3,0.0
7/18/19 12:03,1.2,154.0
7/18/19 14:03,1.1,115.0
7/18/19 16:03,0.0,0.0
7/18/19 18:03,0.4,188.0
7/18/19 20:03,0.4,154.0
7/18/19 20:03,0.4,154.0
7/19/19 0:03,1.3,222.0
7/19/19 4:03,0.0,0.0
7/19/19 8:03,1.7,209.0
7/19/19 10:03,1.4,224.0
7/19/19 12:03,2.0,217.0
7/19/19 14:03,1.7,224.0
7/19/19 16:03,2.5,219.0
7/19/19 18:03,2.1,223.0
7/19/19 20:03,1.5,194.0
7/19/19 20:03,1.5,194.0
7/20/19 0:03,1.1,219.0
7/20/19 4:03,1.2,315.0
7/20/19 8:03,0.6,247.0
7/20/19 10:03,1.2,218.0
7/20/19 12:03,0.9,254.0
7/20/19 14:03,0.8,254.0
7/20/19 16:03,0.9,226.0
7/20/19 18:03,3.4,225.0
7/20/19 20:03,0.7,224.0
7/20/19 20:03,0.7,224.0
7/21/19 0:03,0.8,207.0
7/21/19 4:03,0.6,302.0
7/21/19 8:03,0.3,159.0
7/21/19 10:03,1.0,270.0
7/21/19 12:03,1.3,317.0
7/21/19 14:03,3.7,312.0
7/21/19 16:03,2.3,314.0
7/21/19 18:03,1.2,305.0
7/21/19 20:03,0.5,347.0
7/21/19 20:03,0.5,347.0
7/22/19 0:03,0.0,165.0
7/22/19 4:03,0.7,104.0
7/22/19 8:03,2.1,331.0
7/22/19 10:03,2.6,321.0
7/22/19 12:03,1.5,306.0
