19.2,1.1,322
19.1,1.1,309
19,1.2,309
18.9,0,297
18.8,0,0
19,0,266
18.9,0,0
18.9,0.5,312
18.9,1.3,313
18.4,0,0
18.4,0.3,0
18,0,0
18.2,0,0
18.2,0,0
18.2,0,0
18.1,0,0
18.4,0,0
18.8,0,0
18.8,0,0
19.8,0,0
20.2,0.6,314
21.1,0,0
22.4,0.4,273
23.4,0.4,288
23.1,0.6,288
26.3,0.5,256
27.9,0.4,243
28.1,0.4,253
28.7,0.5,249
29.2,0.5,116
30,0.3,0
30.1,0.8,245
29.8,0.6,228
29.4,0.9,221
31.9,0.4,244
31,0.5,233
31.4,1.2,211
29.6,1.7,213
30.9,0.7,243
34,0.4,258
32.4,0.9,242
33.1,0.4,226
33.2,0.7,264
34.4,0.8,303
33.1,0.9,283
32.2,1,308
32.6,1.5,347
32.2,0.5,89
32.1,1,309
34.9,0.5,261
32.6,2.2,315
34.3,0.9,240
35.1,0.8,193
35.2,0.7,240
35.8,0.7,263
34.4,0.9,328
34.1,0.3,0
34.2,0.8,235
35,0.5,240
35.1,0.8,242
35.2,0.7,248
33.7,0.9,232
34.1,0.5,264
32.9,0.8,252
34.5,0.4,267
32.7,1.3,221
32.3,0.9,242
32.2,0.9,244
31.4,1.4,232
31.6,0.8,238
30.9,0.5,262
30.9,0.5,274
30.1,0,0
28.5,0,254
27.6,0.5,247
26.9,0.4,235
26.6,0.4,280
26.4,0.3,281
26.1,0.7,220
25.5,0.4,236
25.5,0.4,274
25.7,1.1,235
25.6,0.6,250
25.3,0.8,230
24.6,0.4,273
24.8,0.5,252
24.6,0.6,254
24.5,0.8,231
23.9,0.7,272
24,0.5,262
23.7,0.7,281
23.6,0.5,252
23.5,0,0
23.6,1.4,229
23.4,0.9,242
23.4,0.9,227
23.1,0.7,182
23,1.1,230
23.1,1.3,225
23,2.2,225
23,1.7,226
22.8,1.4,228
22.6,0.6,27
22.6,0,0
22.4,0,0
22,0,0
22,0,0
21.3,0,0
21.4,0,0
21.1,0.5,320
21.1,0,0
20.8,0,0
21.1,0,0
21.2,0,0
21.5,0.4,281
21.6,0.6,294
21.4,0.7,303
22.2,0.4,282
24.4,0.3,262
24.7,0.6,291
25.8,0.4,285
27.3,0.4,251
29,0.5,275
28.8,0.6,283
31.3,0.5,221
31.5,0.6,284
30.4,0.5,263
32.3,0.3,231
33,0,235
32.7,0.7,233
33.1,0.4,233
33.3,0.7,241
33.8,0.5,232
34.2,0.5,240
33,1.2,214
33.5,0.8,244
32.4,1.6,227
32.8,1.4,225
33.7,0.5,250
32.6,1,257
32.8,1.6,218
32.6,1.5,233
33.1,0.6,244
32.9,2,211
33.3,2.4,196
32.7,1.6,232
33.5,2.3,221
32.8,1.6,221
32.9,0.5,256
32.5,3.2,220
32.6,2.7,222
32.4,1.7,211
32,2.1,200
32.1,3.2,225
31.9,3.1,222
31.7,3.1,220
31.9,1.6,203
31.4,2.7,232
30.9,2.2,228
30.6,3.2,220
30.3,1.7,234
30.2,2.6,216
29.9,1.1,230
29.7,1,247
29.6,1,237
29.4,1.3,235
28.5,1.5,229
28.2,1.7,235
27.6,1.4,215
27,1.5,227
26.6,0.9,223
26.4,1.3,216
26,0.9,215
25.6,0.6,235
25.2,0.6,233
25.1,0.7,231
24.8,0.8,231
24.8,1.4,221
24.6,0.5,225
24.8,0,0
24.6,0.4,202
24.2,0,0
24.2,0.9,222
24,0,0
24,0,0
23.7,0.8,233
23.5,0.8,233
23.2,1,227
23.3,0.4,0
23.2,1,235
23.2,0.5,233
23.2,0,0
22.9,0.4,237
23.1,0.6,246
23,0.4,225
22.8,0.6,226
22.5,0.3,194
22.5,0.7,193
22.3,0.9,241
22.2,1.4,217
22.1,0.4,142
22,0.7,199
21.7,0,0
21.7,0.5,105
21.6,0.5,111
21.8,0.9,210
21.5,0,0
21.7,0.8,195
21.9,1,227
22.1,0,0
22.3,0,245
22.7,0.4,259
22.6,0.8,191
22.9,1.5,206
23.1,1.6,230
23.5,0.7,219
23.2,1.7,216
23.7,0.7,213
25,0,0
24.8,1.6,217
25.3,1.3,226
26.5,1.3,222
28.2,1.2,230
28.3,1.2,229
29.3,1,220
32.6,0.5,231
30.1,1.8,227
28.7,2.4,222
28.4,1.8,210
30.1,0.4,272
30.8,0.6,270
31.6,0.6,290
32.3,1.1,310
32.9,0.7,280
32.4,0.9,265
33.2,0.9,255
33.5,1.4,242
33.2,1.9,230
33.4,0.7,247
33.2,0.8,275
32.5,0.7,255
32.7,0.9,249
33,1,240
32.5,1,266
32.8,0.6,260
32.1,0.7,247
31.4,0.5,237
30.6,1.8,296
26.7,1.1,255
26.3,2.2,311
25.3,4.2,315
24.7,2.5,316
24.2,1.8,346
23.9,2.2,321
23.9,2.5,313
23.9,0.6,0
24.2,1.1,305
24.1,0.3,315
24.8,0.8,110
24.9,0.3,0
24.9,0.4,122
24.9,0,119
24.9,0,249
25,0,0
25.2,0,0
24.1,0.6,227
23.8,0.4,104
24,0.5,312
24.1,0,0
23.8,0,335
23.8,0.7,309
23.7,0.7,309
23.5,1,311
23.2,2.1,311
22.9,1.1,301
22.7,1.4,314
22.5,0.4,244
22.4,0.5,0
22.9,2.1,315
22.7,1.4,341
22.9,2.8,333
22.4,2.2,316
22.1,2.1,325
21.8,2,321
21.2,0.8,327
20.9,1.7,320
20.7,1.3,334
20.5,1.5,341
20.2,1.5,334
19.7,2.1,340
19,1.4,309
18.5,0.9,0
18,1.2,340
17.7,1.1,9
17.3,0.3,0
16.9,0.8,120
16.8,1.4,349
16.9,0.8,12
17,2.1,341
17.1,2.4,330
17.1,2.6,338
16.7,1.4,339
16.6,1.4,354
16.2,1.1,347
15.9,0.3,348
15.9,0.7,353
16.1,0.5,0
16.9,1.1,339
17.1,0.9,316
17.9,1,3
18.4,1.6,346
19.1,1.3,304
19.4,1.8,305
19.1,1.8,340
20.3,0.9,0
19.5,2.4,337
20.1,1,0
19.9,2.1,336
20.8,2,340
21,3.1,316
20.5,2,332
19.9,1.1,327
20.6,1.1,308
22.5,1,287
22.2,1.8,313
21.8,2.1,328
21.5,1.4,321
22.7,2.2,352
22.2,2.6,314
22.6,2.2,313
22.9,0.8,0
24.4,0.6,258
24.4,1.9,320
23.8,2.4,308
24.7,1.6,300
24.3,2.2,321
24.8,2.4,310
25.4,2.7,325
25.1,2.1,325
25.4,2.4,307
26,2.6,315
26.4,2.4,318
26.9,0.8,161
27.3,0.7,357
27.3,1.9,315
27,2.3,310
27.7,0.4,0
28.1,1.1,318
27,2.1,321
27.3,0.4,0
27.1,2.2,310
27.6,2.4,319
27.9,1.1,357
27.3,0.3,0
27.5,1.5,322
27,2.1,354
26.7,2.8,316
26.4,2.6,318
26.4,0.7,307
26,0.4,331
25.7,1,307
24.9,0.9,296
23.3,1.2,314
22.6,1,318
22.1,1.2,309
21.8,1.1,319
21.5,1.1,314
21.1,1.2,311
20.8,1.6,311
20.7,1.7,311
20.6,1.2,315
20.5,1.6,313
20.4,1.8,314
20.1,2,323
20.1,1.5,313
19.7,1.6,311
19.3,0.9,310
19.6,1.4,321
19.1,1,230
18.6,0,0
18.1,0.5,104
17.8,0,84
17.4,0.6,89
17.3,0.7,135
16.9,0.5,0
17,0.4,54
16.9,0,0
17.2,0,0
16.7,0.4,107
16.4,0.4,139
16.4,0,0
16.4,0.5,98
16.4,0.5,95
15.9,0.4,89
15.7,0.4,106
15.7,0,0
15.6,1,113
15.1,0,107
15.4,0,0
15.5,0.5,114
15.3,0,0
15.7,0.8,306
16.3,0.6,152
16.7,0,314
17.6,0,0
18.7,0,264
20.9,0,242
22.9,0.3,290
