hitemp,lotemp
89,-17
86,-36
92,11
100,15
102,10
119,27
118,28
117,34
108,27
101,16
87,-11
85,-5
84,-35
87,-11
92,-2
100,13
99,18
108,31
114,34
113,29
115,24
107,23
90,4
89,10
